[11/25/22 00:45:24] 服务已启动成功...
[11/25/22 00:45:24] 文件 LoginGate\Data\LoginPlugin.wil 读取成功，MD5值：1D1DF4A8E9C357A43FAA073DAADF5920
[11/25/22 00:45:24] 正在加载插件设置，如果不希望下发插件，请删除 LoginGate\Data\Client.ini 文件。
[11/25/22 00:45:24] 插件 Data\DunClient.Pak 加载成功，MD5值：ACB8CD98ADAC36EE5722768D6107B81A
[11/25/22 00:45:24] 文件 ResourceDir\Data\星盾素材.Pak 加载成功，MD5值：AE04B7C55CB5452BE1F656BD46278479
[11/25/22 00:45:24] 文件 ResourceDir\Data\扩展素材.Pak 加载成功，MD5值：A713269FC43DF12209634D508F47F06F
[11/25/22 00:45:24] Connected to Login Server.
[11/25/22 00:46:16] 机器 3C43CBB999CP6YG327DGFCQ9F 插件不是最新的，正在重发插件文件 Data\DunClient.Pak ！
[11/25/22 00:46:16] 机器 3C43CBB999CP6YG327DGFCQ9F 登录密码错误！已经累计错误 1 次！
[11/25/22 00:46:16] 机器 3C43CBB999CP6YG327DGFCQ9F 操作错误！已经累计错误 1 次！
[11/25/22 00:46:16] 地址 115.57.131.242 登录密码错误！已经连续错误 1 次！
[11/25/22 00:46:16] 地址 115.57.131.242 登录密码错误！已经累计错误 1 次！
[11/25/22 00:46:16] 地址 115.57.131.242 操作错误！已经累计错误 1 次！
[11/25/22 00:46:17] 机器 3C43CBB999CP6YG327DGFCQ9F 安装插件成功！
[11/25/22 00:46:17] 机器 3C43CBB999CP6YG327DGFCQ9F 文件 ResourceDir\Data\星盾素材.Pak 不是最新的，正在重发！
[11/25/22 00:46:17] 机器 3C43CBB999CP6YG327DGFCQ9F 文件 ResourceDir\Data\扩展素材.Pak 不是最新的，正在重发！
[11/25/22 00:46:18] 机器 3C43CBB999CP6YG327DGFCQ9F 发送文件 ResourceDir\Data\星盾素材.Pak 成功！
[11/25/22 00:46:18] 机器 3C43CBB999CP6YG327DGFCQ9F 发送文件 ResourceDir\Data\扩展素材.Pak 成功！
[11/25/22 00:46:25] 机器 3C43CBB999CP6YG327DGFCQ9F 登录密码错误！已经累计错误 0 次！
[11/25/22 00:46:25] 机器 3C43CBB999CP6YG327DGFCQ9F 操作错误！已经累计错误 2 次！
[11/25/22 00:46:25] 地址 115.57.131.242 登录密码错误！已经连续错误 2 次！
[11/25/22 00:46:25] 地址 115.57.131.242 登录密码错误！已经累计错误 0 次！
[11/25/22 00:46:25] 地址 115.57.131.242 操作错误！已经累计错误 2 次！
[11/25/22 00:46:43] 机器 3C43CBB999CP6YG327DGFCQ9F 多次错误已被阻止登录！离解封还有 12 秒！
[11/25/22 00:47:03] 机器 3C43CBB999CP6YG327DGFCQ9F 登录密码错误！已经累计错误 1 次！
[11/25/22 00:47:03] 机器 3C43CBB999CP6YG327DGFCQ9F 操作错误！已经累计错误 3 次！
[11/25/22 00:47:03] 地址 115.57.131.242 登录密码错误！已经连续错误 0 次！
[11/25/22 00:47:03] 地址 115.57.131.242 登录密码错误！已经累计错误 1 次！
[11/25/22 00:47:03] 地址 115.57.131.242 操作错误！已经累计错误 3 次！
[11/25/22 00:47:07] 地址 115.57.131.242 多次错误已被阻止登录！离解封还有 25 秒！
[11/25/22 00:47:58] 机器 3C43CBB999CP6YG327DGFCQ9F 登录密码错误！已经累计错误 0 次！
[11/25/22 00:47:58] 机器 3C43CBB999CP6YG327DGFCQ9F 操作错误！已经累计错误 4 次！
[11/25/22 00:47:58] 地址 115.57.131.242 登录密码错误！已经连续错误 1 次！
[11/25/22 00:47:58] 地址 115.57.131.242 登录密码错误！已经累计错误 0 次！
[11/25/22 00:47:58] 地址 115.57.131.242 操作错误！已经累计错误 4 次！
[11/25/22 00:48:01] 机器 3C43CBB999CP6YG327DGFCQ9F 多次错误已被阻止登录！离解封还有 26 秒！
[11/25/22 02:02:32] 机器 P7TRDCB9XD2WCD8GHRT4KYRBF 登录密码错误！已经累计错误 1 次！
[11/25/22 02:02:32] 机器 P7TRDCB9XD2WCD8GHRT4KYRBF 操作错误！已经累计错误 1 次！
[11/25/22 02:02:32] 地址 39.89.15.245 登录密码错误！已经连续错误 1 次！
[11/25/22 02:02:32] 地址 39.89.15.245 登录密码错误！已经累计错误 1 次！
[11/25/22 02:02:32] 地址 39.89.15.245 操作错误！已经累计错误 1 次！
[11/25/22 09:22:53] 机器 3C43CBB999CP6YG327DGFCQ9F 登录密码错误！已经累计错误 1 次！
[11/25/22 09:22:53] 机器 3C43CBB999CP6YG327DGFCQ9F 操作错误！已经累计错误 5 次！
[11/25/22 09:22:53] 地址 115.57.131.242 登录密码错误！已经连续错误 1 次！
[11/25/22 09:22:53] 地址 115.57.131.242 登录密码错误！已经累计错误 1 次！
[11/25/22 09:22:53] 地址 115.57.131.242 操作错误！已经累计错误 5 次！
