;代码	座标x	座标y	怪物名称	范围	数量	时间	集中刷新几率	颜色
;-----------------------------------------------------------------------------------------------------
a3	351	342	练功师	0	1	60
;-----------------------------------------------------------------------------------------------------

;等级050  100 100  落日※小兵              3000  300 30 0 250
;等级050  100 100  落日※小兵              3000  300 30 0 250
;等级050  100 100  落日※阎魔              3000  300 30 0 250
;等级050  100 100  落日※阎魔              3000  300 30 0 250
;等级050  100 100  落日※狐狸              3000  300 30 0 250
;等级050  100 100  落日※狐狸              3000  300 30 0 250
;等级050  100 100  落日※游侠			  3000  300 30 0 250
;等级50新地图-----------------------------------------------------------------------------------------------------
等级050  100 100  落日※小兵               3000  150 30 0 250
等级050  100 100  落日※阎魔               3000  150 30 0 250
等级050  100 100  落日※狐狸               3000  150 30 0 250
等级050  100 100  落日※游侠               3000  150 30 0 250

;等级100  100 100  苍穹※修士              3000  300 30 0 154
;等级100  100 100  苍穹※修士              3000  300 30 0 154
;等级100  100 100  苍穹※修士              3000  300 30 0 154
;等级100  100 100  逐鹿★小王子·送福利      5000  20  30 0 70
;等级100  100 100  元宝★福利·BOSS         5000  20  30 0 249
;等级100  100 100  逐鹿币★福利·BOSS       5000  20  30 0 249
;等级100新地图-----------------------------------------------------------------------------------------------------
等级100  100 100  苍穹※修士              3000  150 30 0 154
等级100  100 100  苍穹※修士              3000  150 30 0 154
等级100  100 100  苍穹※修士              3000  150 30 0 154
等级100  100 100  逐鹿★小王子·送福利      5000  40  30 0 70
等级100  100 100  元宝★福利·BOSS         5000  10  30 0 249
等级100  100 100  逐鹿币★福利·BOSS       5000  10  30 0 249

等级110  100 100  逆奥※小将              3000  300 30 0 253
等级110  100 100  逆奥※小将              3000  300 30 0 253
等级110  100 100  逆奥※雪谷之主：血电     1000   5  30 0 253
等级110  100 100  逐鹿★小王子·送福利      1000  20  30 0 250
等级110  100 100  逐鹿★王★我命由于不由天  1000  2   60 0 250
等级110  100 100  元宝★福利·BOSS          1000  5   30 0 249
等级110  100 100  逐鹿币★福利·BOSS        1000  5   30 0 249

等级120  100 100  熔岩※流民                  3000  300 30 0 253
等级120  100 100  熔岩※流民                  3000  300 30 0 253
等级120  100 100  熔岩※沼泽之主：藤青         1000   5  30 0 253
等级120  100 100  逐鹿★小王子·送福利          1000  20  30 0 250
等级120  100 100  逐鹿★王★我命由于不由天      1000  2   60 0 250
等级120  100 100  元宝★福利·BOSS              1000  5   30 0 249
等级120  100 100  逐鹿币★福利·BOSS            1000  5   30 0 249

等级130  100 100  熔岩※流民                3000  300 30 0 253
等级130  100 100  傲视※小将                3000  300 30 0 253
等级130  100 100  熔岩※沼泽之主：藤青       1000   5  30 0 253
等级130  100 100  逐鹿★小王子·送福利        1000  20  30 0 250
等级130  100 100  逐鹿★王★我命由于不由天    1000  2   60 0 250
等级130  100 100  元宝★福利·BOSS            1000  5   30 0 249
等级130  100 100  逐鹿币★福利·BOSS          1000  5   30 0 249

等级150  100 100  傲视※小将                3000  300 30 0 253
等级150  100 100  傲视※小将                3000  300 30 0 253
等级150  100 100  傲视※大殿之主：昊阳       1000   5  30 0 253
等级150  100 100  逐鹿★小王子·送福利        1000  20  30 0 250
等级150  100 100  逐鹿★王★我命由于不由天    1000  2   60 0 250
等级150  100 100  元宝★福利·BOSS            1000  5   30 0 249
等级150  100 100  逐鹿币★福利·BOSS          1000  5   30 0 249

;================二大陆


等级152  100 100  沧溟※战将                      4000  300 30 0 253
等级152  100 100  沧溟※战将                      4000  300 30 0 253
等级152  100 100  沧溟※神殿之主：紫林             1000  5  30 0 253
等级152  100 100  逐鹿★小王子·送福利              1000  20  30 0 250
等级152  100 100  逐鹿★王★我命由于不由天         1000  2   60 0 250
等级152  100 100  元宝★福利·BOSS                 1000  5   30 0 249
等级152  100 100  逐鹿币★福利·BOSS               1000  5   30 0 249

等级154  100 100  天涯※卫士                      4000  300 30 0 253
等级154  100 100  天涯※卫士                      4000  300 30 0 253
等级154  100 100  天涯※海角之主：堕天             1000  5  30 0 253
等级154  100 100  逐鹿★小王子·送福利              1000  20  30 0 250
等级154  100 100  逐鹿★王★我命由于不由天         1000  2   60 0 250
等级154  100 100  元宝★福利·BOSS                 1000  5   30 0 249
等级154  100 100  逐鹿币★福利·BOSS               1000  5   30 0 249


等级156  100 100  潜龙※战士                      4000  300 30 0 253
等级156  100 100  潜龙※战士                      4000  300 30 0 253
等级156  100 100  潜龙※魔渊之主：麟天             1000  5  30 0 253
等级156  100 100  逐鹿★小王子·送福利              1000  20  30 0 250
等级156  100 100  逐鹿★王★我命由于不由天          1000  2   60 0 250
等级156  100 100  元宝★福利·BOSS                  1000  5   30 0 249
等级156  100 100  逐鹿币★福利·BOSS                1000  5   30 0 249



等级158  100 100  灵洞※神卫                      4000  300 30 0 253
等级158  100 100  灵洞※神卫                      4000  300 30 0 253
等级158  100 100  灵洞※九天之主：浑拓             1000  5  30 0 253
等级158  100 100  逐鹿★小王子·送福利              1000  20  30 0 250
等级158  100 100  逐鹿★王★我命由于不由天         1000  2   60 0 250
等级158  100 100  元宝★福利·BOSS                 1000  5   30 0 249
等级158  100 100  逐鹿币★福利·BOSS               1000  5   30 0 249



等级160  100 100  禁地※修士                      4000  300 30 0 253
等级160  100 100  禁地※修士                      4000  300 30 0 253
等级160  100 100  神威※禁地之主：卫易             1000  5  30 0 253
等级160  100 100  逐鹿★小王子·送福利              1000  20  30 0 250
等级160  100 100  逐鹿★王★我命由于不由天          1000  2   60 0 250
等级160  100 100  元宝★福利·BOSS                  1000  5   30 0 249
等级160  100 100  逐鹿币★福利·BOSS                1000  5   30 0 249

;================三大陆



等级162  100 100  封神※战将                      3000  350 30 0 253
等级162  100 100  封神※遗址之主：白衣              1000  5  30 0 253
等级162  100 100  逐鹿★王★我命由于不由天          1000  2   60 0 250
等级162  100 100  元宝★福利·BOSS                  1000  5   30 0 249
等级162  100 100  逐鹿币★福利·BOSS                1000  5   30 0 249


等级164  100 100  梦幻※仙兵                      3000  350 30 0 253
等级164  100 100  梦幻※虚空之主：谛缺             1000  5  30 0 253
等级164  100 100  逐鹿★王★我命由于不由天          1000  2   60 0 250
等级164  100 100  元宝★福利·BOSS                  1000  5   30 0 249
等级164  100 100  逐鹿币★福利·BOSS                1000  5   30 0 249


等级166  100 100  灭世※古修                      3000  350 30 0 253
等级166  100 100  灭世※禁地之主：姬子             1000  5  30 0 253
等级166  100 100  逐鹿★王★我命由于不由天          1000  2   60 0 250
等级166  100 100  元宝★福利·BOSS                  1000  5   30 0 249
等级166  100 100  逐鹿币★福利·BOSS                 1000  5   30 0 249

等级168  100 100  凌霄※斗士                      3000  350 30 0 253
等级168  100 100  凌霄※宝殿之主：太一              1000  5  30 0 253
等级168  100 100  逐鹿★王★我命由于不由天          1000  2   60 0 250
等级168  100 100  元宝★福利·BOSS                  1000  5   30 0 249
等级168  100 100  逐鹿币★福利·BOSS                1000  5   30 0 249

等级170  100 100  炎龙※战将                      3000  350 30 0 253
等级170  100 100  炎龙※神峰之主：雪月             1000  5  30 0 253
等级170  100 100  逐鹿★王★我命由于不由天          1000  2   60 0 250
等级170  100 100  元宝★福利·BOSS                  1000  5   30 0 249
等级170  100 100  逐鹿币★福利·BOSS                1000  5   30 0 249

;================四大陆

等级172  100 100  琅琊※战士                      3000  350 30 0 253
等级172  100 100  琅琊※之巅之主：琅琊             1000  5  30 0 253
等级172  100 100  逐鹿★王★我命由于不由天          1000  2   60 0 250
等级172  100 100  逐鹿币★福利·BOSS                1000  5   30 0 250
等级172  100 100  元宝★福利·BOSS                  1000  5   30 0 250

等级174  100 100  武魂※仙兵                      3000  350 30 0 253
等级174  100 100  武魂※神坛之主：武主             1000  5  30 0 253
